,全国总计,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
2006,16499.7,50467,41163,16962,14123,20053,21788,15720,16195,57695,28814,31874,10055,21471,10798,23794,13313,13296,11950,28332,10296,12654,12316,10546,5787,8970,10430,12138,8757,11762,11846.66,15000
2007,20169.46,58204,46122,19877,16945,25393,25729,19383,18478,66367,33928,37411,12045,25908,12633,27807,16012,16206,14492,33151,12555,14555,14660,12893,6915,10540,12109,14607,10346,14257,14649,16999
2008,23707.71,63029,55473,23239,20398,32214,31259,23514,21727,73124,39622,42214,14485,30123,14781,33083,19593,19860,17521,37589,14966,17175,18025,15378,8824,12587,13861,18246,12110,17389,17892,19893
2009,25607.53,70452,62574,24581,21522,40282,35239,26595,22447,78989,44744,44641,16407.66,33840,17335,35894,20597,22677,20428,41166,16045,19254,22920,17339,10309,13539,15295,21688,12872,19454,21777,19942
2010,30015.05,73856,72994,28668,26283,47347,42355,31599,27076,76074,52840,51711,20888,40025,21253,41106,24446,27906,24719,44736,20219,23831,27596,21182,13119,15752,17027,27133,16113,24115,26860,25034
2011,35197.79,81658,85213,33969,31357,57974,50760,38460,32819,82560,62290,59249,25659,47377,26150,47335,28661,34197,29880,50807,25326,28898,34500,26133,16413,19265,20077,33464,19595,29522,33043,30087
2012,38420.38,87475,93173,36584,33628,63886,56649,43415,35711,85373,68347,63374,28792,52763,28800,51768,31499,38572,33480,54095,27952,32377,38914,29608,19710,22195,22936,38564,21978,33181,36394,33796
2013, ,94648,100105,38909,34984,67836,61996,47428,37697,90993,75354,68805,32001,58145,31930,56885,34211,42826,36943,58833,30741,35663,43223,32617,23151,25322,26326,43117,24539,36875,39613,37553
2014, ,99995,105231,39984,35070,71046,65201,50160,39226,97370,81874,73002,34425,63472,34674,60879,37072,47145,40271,63469,33090,38924,47850,35128,26437,27264,29252,46929,26433,39671,41834,40648
2015, ,106497,107960.09,40255,34918.71,71100.54,65354.41,51086,39461.56,103795.54,87995,77643.69,35996.56,67965.52,36724,64168.3,39122.61,50653.85,42753.86,67503,35190,40818,52321,36775,29847.25,28806,31999,47626,26165.26,41252,43805,40036
