,全国总计,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,全国总计,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,全国总计,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
2006,24040,98.04,118.23,1606.48,276.77,649.62,976.37,672.76,737.59,93.8,1545.01,925.1,1028.66,896.17,786.14,2138.9,2049.92,1140.41,1332.23,1577.12,1032.47,344.48,425.81,1595.48,393.17,749.81,50.9,488.48,333.35,69.64,79.54,527.8,103719.54,2191.43,2488.29,6115.01,2748.33,2327.44,4729.5,1915.29,3365.31,5028.37,12250.84,8509.57,2648.13,3743.71,2320.74,12751.2,6724.61,3365.08,3151.7,13431.82,1878.56,287.86,1500.97,3775.19,980.78,1712.6,80.1,2440.5,1043.19,331.16,349.83,1459.3,88554.88,5580.81,1752.63,3938.94,1727.44,1814.42,3545.28,1687.07,2086,5244.2,7849.23,6307.85,2471.94,2974.67,1563.65,7187.26,3721.44,3075.83,3084.96,11195.53,1917.47,420.51,1564.79,3267.14,908.05,1544.31,160.01,1594.76,900.16,240.78,281.39,1058.16
2007,28627,101.26,110.19,1804.72,269.68,762.1,1133.4,783.8,915.38,101.84,1816.24,986.02,1200.18,1002.11,905.77,2509.14,2217.66,1378,1626.52,1695.57,1241.35,361.07,482.39,2032,446.38,837.35,54.89,592.63,385.97,83.41,97.89,628.72,125831.36,2509.4,2892.53,7241.8,3438.58,3154.56,5853.1,2475.45,3695.58,5678.51,14306.4,10148.45,3289.12,4549.42,2840.92,14776.53,8282.83,3966.68,3916.44,15939.1,2425.29,364.26,1892.1,4641.3,1148.27,2051.08,98.48,2964.56,1279.32,417.78,451.82,1647.55,111351.95,6742.66,2047.68,4662.98,2025.09,2174.46,4036.99,2025.44,2454.04,6408.5,9618.52,7645.96,2874.88,3697.6,1753.56,8680.24,4511.97,3886,3657.04,13449.73,2289,497.95,1748.02,3832,1147.25,1852.88,188.82,1908.6,1037.11,282.42,339.49,1246.89
2008,33702,112.81,122.58,2034.6,302.48,906.98,1302,916.7,1089.1,111.8,2100,1095.43,1418.08,1157.75,1060.38,3002.65,2658.8,1780,2007.4,1970.23,1453.9,437.61,575.4,2366.15,547.85,1020.94,60.51,753.72,463,105.58,120,691.1,149003.44,2693.15,3821.07,8777.42,4265.77,4271.03,7512.11,3064.63,4365.9,6235.92,16663.81,11580.33,4137.35,5415.77,3414.88,17702.17,10477.92,4963.61,4933.08,18402.64,3037.74,434.4,2433.27,5790.1,1408.71,2451.09,115.76,3842.08,1471.43,529.4,581.24,2086.74,131339.99,7682.07,2410.73,5376.59,2370.48,2583.79,4647.46,2442.73,2855,7350.43,11548.8,8811.17,3318.74,4249.59,2005.07,10367.23,5271.06,4586.77,4216.16,15323.59,2679.94,587.22,2087.99,4350,1376.84,2228.07,219.64,2255.52,1241.68,326.55,397.27,1425.57
2009,35226,118.29,128.85,2207.34,477.59,929.6,1414.9,980.57,1154.33,113.82,2261.86,1163.08,1495.45,1182.74,1098.66,3226.64,2769.05,1795.9,1969.69,2010.27,1458.49,462.19,606.8,2240.61,550.27,1067.6,63.88,789.64,497.05,107.4,127.25,759.74,157638.78,2855.55,3987.84,8959.83,3993.8,5114,7906.34,3541.92,4060.72,6001.78,18566.37,11908.49,4905.22,6005.3,3919.45,18901.83,11010.5,6038.08,5687.19,19419.7,3381.54,443.43,3448.77,6711.87,1476.62,2582.53,136.63,4236.42,1527.24,575.33,662.32,1929.59,148038.04,9179.19,3405.16,6068.31,2886.92,3696.65,5891.25,2756.26,3371.95,8930.85,13629.07,9918.78,3662.15,5048.49,2637.07,11768.18,5700.91,5127.12,5402.81,18052.59,2919.13,748.59,2474.44,5198.8,1885.79,2519.62,240.85,3143.74,1363.27,398.54,563.74,1587.72
2010,40533.6,124.36,145.58,2562.81,554.48,1095.28,1631.08,1050.15,1302.9,114.15,2540.1,1360.56,1729.02,1363.67,1206.98,3588.28,3258.09,2147,2325.5,2286.98,1675.06,539.83,685.38,2482.89,625.03,1108.38,68.72,988.45,599.28,134.92,159.29,1078.63,187383.21,3388.38,4840.23,10707.68,5234,6367.69,9976.82,4506.31,5204.11,7218.32,21753.93,14297.93,6436.62,7522.83,5122.88,21238.49,13226.38,7767.24,7343.19,23014.53,4511.68,571,4359.12,8672.18,1800.06,3223.49,163.92,5446.1,1984.97,744.63,827.91,2592.15,173595.98,10600.84,4238.65,7123.77,3412.38,4209.02,6849.37,3111.12,3861.59,9833.51,17131.45,12063.82,4193.68,5850.62,3121.4,14343.14,6607.89,6053.37,6369.27,20711.55,3383.11,953.67,2881.08,6030.41,2177.07,2892.31,274.82,3688.93,1536.5,470.88,702.45,1766.69
2011,47486.21,136.27,159.72,2905.73,641.42,1306.3,1915.57,1277.44,1701.5,124.94,3064.77,1583.04,2015.31,1612.24,1391.07,3973.85,3512.24,2569.3,2768.03,2665.2,2047.23,659.23,844.52,2983.51,726.22,1411.01,74.47,1220.9,678.75,155.08,184.14,1139.03,220412.81,3752.48,5928.32,13126.86,6635.26,8037.69,12152.15,5611.48,6330.53,7927.89,25203.28,16555.58,8309.38,9069.2,6390.55,24017.11,15427.08,9815.94,9361.99,26447.38,5675.32,714.5,5543.04,11029.13,2194.33,3780.32,208.79,6935.59,2377.83,975.18,1056.15,3225.9,205205.02,12363.18,5219.24,8483.17,3960.87,5015.89,8158.98,3679.91,4549.97,11142.86,20842.21,14180.23,4975.95,6878.74,3921.2,17370.89,7991.72,7247.02,7539.54,24097.7,3998.33,1148.93,3623.81,7014.04,2781.29,3701.79,322.57,4355.81,1963.79,540.18,861.92,2245.12
2012,52373.63,150.2,171.6,3186.66,698.32,1448.58,2155.82,1412.11,2113.66,127.8,3418.29,1667.88,2178.73,1776.71,1520.23,4281.7,3769.54,2848.77,3004.21,2847.26,2172.37,711.54,940.01,3297.21,891.91,1654.55,80.38,1370.16,780.5,176.91,199.4,1320.57,235161.99,4059.27,6663.82,14003.57,6731.56,8801.5,13230.49,6376.77,6037.61,7854.77,27121.95,17316.32,9404.84,10187.94,6942.59,25735.73,16672.2,11193.1,10506.42,27700.97,6247.43,804.47,5975.18,12333.28,2677.54,4419.2,242.85,8073.87,2600.09,1092.34,1159.37,3481.56,231406.49,13669.93,6058.46,9384.78,4682.95,5630.5,9460.12,4150.36,5540.31,12199.15,23517.98,15681.13,5628.48,7737.13,4486.06,19995.81,9157.57,8208.58,8643.6,26519.69,4615.3,1339.53,4494.41,8242.31,3282.75,4235.72,377.8,5009.65,2269.61,624.29,982.52,2703.18
2013, ,161.83,188.45,3500.42,773.81,1599.41,2321.63,1509.34,2516.79,129.28,3646.08,1784.62,2348.09,1936.31,1636.49,4742.63,4058.98,3098.16,3099.23,3047.51,2343.57,756.47,1016.74,3425.61,1029.05,1895.34,86.82,1526.05,879.37,207.59,222.98,1468.29, ,4352.3,7276.68,14762.1,6792.68,9084.19,14269.46,6858.23,5918.22,8027.77,29094.03,18446.65,10403.96,11315.3,7671.38,27422.47,17806.39,12171.56,11517.35,29427.49,6863.04,871.29,6397.92,13579.03,3243.7,4927.82,292.92,8911.64,2821.04,1204.31,1264.96,3765.97, ,14986.43,6905.03,10038.89,5035.75,6148.78,10486.56,4613.89,5947.92,13445.07,26421.64,17337.22,6286.82,8508.03,5030.63,22519.23,10290.49,9398.77,9885.09,29688.97,5171.39,1518.7,5242.03,9256.13,3734.04,4897.75,427.93,5607.52,2567.6,689.15,1077.12,3125.98
2014, ,158.99,199.9,3447.46,788.89,1627.85,2285.75,1524.01,2611.36,124.26,3634.33,1777.18,2392.39,2014.8,1683.72,4798.36,4160.01,3176.89,3148.75,3166.82,2413.44,809.52,1061.03,3531.05,1280.45,1990.07,91.64,1564.94,900.76,215.93,216.99,1538.6, ,4544.8,7731.85,15012.85,6293.91,9119.79,14384.64,7286.59,5544.41,8167.71,30854.5,19175.06,11077.67,12515.36,8247.93,28788.11,17816.56,12852.4,12482.06,31419.75,7324.96,875.97,6529.06,13962.41,3857.44,5281.82,336.84,9577.24,2926.45,1234.31,1341.24,3948.96, ,16627.04,7795.18,10960.84,5678.69,7022.55,11956.19,4992.54,6883.61,15275.72,30599.49,19220.79,7378.68,9525.6,5782.98,25840.12,12961.67,11349.93,11406.51,33223.28,5934.49,1815.23,6672.51,11043.2,4128.5,5542.7,492.35,6547.76,3009.61,853.08,1193.87,3785.9
2015, ,140.21,208.82,3439.45,783.16,1617.42,2384.03,1596.28,2633.5,109.82,3986.05,1832.91,2456.69,2118.1,1772.98,4979.08,4209.56,3309.84,3331.62,3345.54,2565.45,854.72,1150.15,3677.3,1640.61,2055.78,98.04,1597.63,954.09,208.93,237.76,1559.08, ,4542.64,7704.22,14386.87,5194.27,9000.58,13041.97,7005.71,4798.08,7991,32044.45,19711.67,10946.83,13064.82,8411.57,29485.9,17917.37,13503.56,12810.82,32613.54,7717.52,875.82,7069.37,13248.08,4147.83,5416.12,376.19,9082.13,2494.77,1207.31,1379.6,3596.4, ,18331.74,8625.15,11979.79,6789.06,7213.51,13243.02,5461.14,7652.09,17022.63,34085.88,21341.91,8602.11,10796.9,6539.23,28537.35,14875.23,12736.79,12759.77,36853.47,6520.15,1972.22,7497.75,13127.72,4714.12,6147.27,552.16,7342.1,3341.46,1000.81,1294.41,4169.32
